id,doculect,concept,forms,lexstatid
4292,Tapayúna,WOODPECKER,n t ɜ j,1729
4293,Parkatêjê,WOODPECKER,c ɜ j + r ɛ,1729
4294,Parkatêjê,WOODPECKER,c ɜ j + t i,1729
4295,Canela-Krahô,WOODPECKER,c ɜ j,1729
4296,Apinayé,WASP,n ĵ ɨ,1673
4297,Canela-Krahô,WASP,c ɨ,1673
4298,Gavião-Pyhcopji,WASP,c ɜ̤ː,1673
4299,Mẽbêngôkre,WASP (TYPE OF),a m j ɨ,1674
4300,Apinayé,WASP (TYPE OF),a m n ĵ ɨ,1674
4301,Kĩsêdjê,WASP (TYPE OF),a m n t ɨ,1674
4302,Tapayúna,WASP (TYPE OF),a m t ɨ,1674
4303,Parkatêjê,WASP (TYPE OF),a m c ɨ,1674
4304,Canela-Krahô,WASP (TYPE OF),a m c ɨ,1674
4305,Gavião-Pyhcopji,WASP (TYPE OF),a m c ɜ̤ː,1674
4306,Mẽbêngôkre,HANG (SINGULAR),ɲ ɔ,700
4307,Mẽbêngôkre,HANG (SINGULAR),ɲ ɔ r,700
4308,Apinayé,HANG (SINGULAR),n ĵ ɔ,700
4309,Apinayé,HANG (SINGULAR),n ĵ ɔ r,700
4310,Kĩsêdjê,HANG (SINGULAR),n t ɔ,700
4311,Kĩsêdjê,HANG (SINGULAR),n t ɔ r,700
4312,Tapayúna,HANG (SINGULAR),n t ɔ,700
4313,Tapayúna,HANG (SINGULAR),n t ɔ r,700
4314,Parkatêjê,HANG (SINGULAR),c ɔ,700
4315,Parkatêjê,HANG (SINGULAR),c ɔ r,700
4316,Canela-Krahô,HANG (SINGULAR),c ɔ,700
4317,Canela-Krahô,HANG (SINGULAR),c ɔ r,700
4318,Gavião-Pyhcopji,HANG (SINGULAR),c u,700
4319,Gavião-Pyhcopji,HANG (SINGULAR),c u r,700
4320,Mẽbêngôkre,HANG (PLURAL),j a ɲ ɔ,699
4321,Mẽbêngôkre,HANG (PLURAL),j a ɲ ɔ r,699
4322,Apinayé,HANG (PLURAL),j a n ĵ ɔ,699
4323,Apinayé,HANG (PLURAL),j a n ĵ ɔ r,699
4324,Kĩsêdjê,HANG (PLURAL),j a n t ɔ,699
4325,Kĩsêdjê,HANG (PLURAL),j a n t ɔ r,699
4326,Parkatêjê,WEAVE STRAW,j a c ɔ,1686
4327,Canela-Krahô,HANG (PLURAL),j a c ɔ,699
4328,Canela-Krahô,HANG (PLURAL),j a c ɔ r,699
4329,Gavião-Pyhcopji,HANG (PLURAL),j a c u,699
4330,Gavião-Pyhcopji,HANG (PLURAL),j a c u r,699
4331,Mẽbêngôkre,MOUSE,a m j ɔ,975
4332,Apinayé,MOUSE,a m n ĵ ɔ,975
4333,Kĩsêdjê,MOUSE,a m t ɔ,975
4334,Tapayúna,MOUSE,a m n t ɔ,975
4335,Parkatêjê,MOUSE,a m c ɔ + r ɛ,975
4336,Canela-Krahô,MOUSE,a m c ɔ,975
4337,Gavião-Pyhcopji,MOUSE,a m c uː,975
4338,Mẽbêngôkre,VULTURE,ɲ ɔ ɲ,1648
4339,Apinayé,VULTURE,n ĵ ɔ ɲ,1648
4340,Tapayúna,VULTURE,n t w ɜ̂ j + h ɔ + c i,1650
4341,Parkatêjê,VULTURE,c ɔ n,1648
4342,Canela-Krahô,VULTURE,c ɔ n,1648
4343,Gavião-Pyhcopji,VULTURE,c u n,1648
4344,Mẽbêngôkre,ITCH,ɔ m j ɔ p,797
4345,Mẽbêngôkre,ITCH,m j ɔ m j ɔ p,797
4346,Apinayé,ITCH,n ĵ ɔ m n ĵ ɔ p,797
4347,Apinayé,ITCH,n ĵ ɔ p n ĵ ɔ p,797
4348,Kĩsêdjê,ITCH,n t ɔ m n t ɔ m,797
4349,Tapayúna,ITCH,n/d ɔ n d ɔ p,797
4350,Parkatêjê,ITCH,c ɔ p c ɔ p,797
4351,Canela-Krahô,ITCH,c ɔ p c ɔ p ,797
4352,Gavião-Pyhcopji,ITCH,c u m c u p,797
4353,Mẽbêngôkre,DRY IN THE SUN,ɲ u,472
4354,Mẽbêngôkre,DRY IN THE SUN,ɲ u ɲ,472
4355,Apinayé,DRY IN THE SUN,n ĵ u,472
4356,Canela-Krahô,DRY IN THE SUN,c u,472
4357,Canela-Krahô,DRY IN THE SUN,c u n,472
4358,Mẽbêngôkre,CLOUDY,ɲ ũ m,324
4359,Apinayé,CLOUDY,ɲ ũ m,324
4360,Kĩsêdjê,DIRTY,n t u m,436
4361,Parkatêjê,DIRTY,c ũ m + r ɛ,436
4362,Canela-Krahô,DIRTY,c ũ m,436
4363,Gavião-Pyhcopji,DIRTY,c õ̤ m,436
4364,Mẽbêngôkre,HONAY WITH FLOUR,ɲ u m + r ɛ,744
4365,Apinayé,CAUIM,ɲ ũ m,278
4366,Canela-Krahô,CAUIM,c ũ m,278
4367,Mẽbêngôkre,PIERCE,k a ɲ û,1121
4368,Mẽbêngôkre,PIERCE,k a ɲ w ɜ̂,1121
4369,Mẽbêngôkre,PIERCE,k a ɲ w ɜ̂ r,1121
4370,Mẽbêngôkre,PIERCE,k a m j û,1121
4371,Mẽbêngôkre,PIERCE,k a m j ɜ̂ r,1121
4372,Apinayé,PIERCE,k a n ĵ w ɜ̂,1121
4373,Apinayé,PIERCE,k a n ĵ w ɜ̂ r,1121
4374,Apinayé,PIERCE,k a m n ĵ w ɜ̂,1121
4375,Apinayé,PIERCE,k a m n ĵ w ɜ̂ r,1121
4376,Parkatêjê,PIERCE,k a c w ɜ̂,1121
4377,Parkatêjê,PIERCE,k a c w ɜ̂ r,1121
4378,Parkatêjê,PIERCE,k ɜ̃ m c w ɜ̂,1121
4379,Parkatêjê,PIERCE,k ɜ̃ m c w ɜ̂ r,1121
4380,Canela-Krahô,PIERCE,k a c w ɜ̂,1121
4381,Canela-Krahô,PIERCE,k a c w ɜ̂ r,1121
4382,Canela-Krahô,PIERCE,k a m c w ɜ̂,1121
4383,Canela-Krahô,PIERCE,k a m c w ɜ̂ r,1121
4384,Gavião-Pyhcopji,PIERCE,k a c w ɨ,1121
4385,Gavião-Pyhcopji,PIERCE,k a c w ɨ r,1121
4386,Mẽbêngôkre,STAND UP (SOMETHING PLURAL),p ɨ m j û,1448
4387,Mẽbêngôkre,STAND UP (SOMETHING PLURAL),p ɨ m j ɜ̂ r,1448
4388,Apinayé,STAND UP (SOMETHING PLURAL),c + u n ĵ w ɜ̂,1448
4389,Apinayé,STAND UP (SOMETHING PLURAL),c + u n ĵ w ɜ̂ r,1448
4390,Kĩsêdjê,STAND UP (SOMETHING PLURAL),w ɨ n t w ɜ̂,1448
4391,Kĩsêdjê,STAND UP (SOMETHING PLURAL),w ɨ n t w ɜ̂ r,1448
4392,Parkatêjê,STAND UP (SOMETHING PLURAL),p ɨ c w ɜ̂,1448
4393,Parkatêjê,STAND UP (SOMETHING PLURAL),p ɨ c w ɜ̂ r,1448
4394,Canela-Krahô,STAND UP (SOMETHING PLURAL),p ɨ c w ɜ̂,1448
4395,Canela-Krahô,STAND UP (SOMETHING PLURAL),p ɨ c w ɜ̂ r,1448
4396,Gavião-Pyhcopji,STAND UP (SOMETHING PLURAL),p ɜ̤ c w ɨ,1448
4397,Gavião-Pyhcopji,STAND UP (SOMETHING PLURAL),p ɜ̤ c w ɨ r,1448
4398,Mẽbêngôkre,BRASILIAN BIRD,ɲ w ɜ̂ k,215
4399,Apinayé,BRASILIAN BIRD,n ĵ w ɜ̂ k,215
4400,Tapayúna,BRASILIAN BIRD,n/d u a k + c i,216
4401,Parkatêjê,BRASILIAN BIRD,c w ɜ̂ k,215
4402,Canela-Krahô,BRASILIAN BIRD,c w ɜ̂ k,215
4403,Apinayé,HIT,n ĵ ɛ k,735
4404,Kĩsêdjê,SOFT,n t ɛ k,1405
4405,Canela-Krahô,STAB,c ɛ k,1442
4406,Gavião-Pyhcopji,PRAY,c ɛ k,1164
4407,Gavião-Pyhcopji,TEAR DOWN,c ɛ k,1531
4408,Mẽbêngôkre,PINCH,ɲ ɛ,1124
4409,Apinayé,PINCH,k ɜ n ĵ ɛ,1124
4410,Apinayé,PINCH,k ɜ c ɛ,1124
4411,Parkatêjê,PINCH,c ɛ,1124
4412,Parkatêjê,PINCH,c ɛ r,1124
4413,Canela-Krahô,PINCH,c ɛ,1124
4414,Canela-Krahô,PINCH,c ɛ r,1124
4415,Gavião-Pyhcopji,SCRATCH,c i,1299
4416,Gavião-Pyhcopji,PINCH,c i r,1124
4417,Mẽbêngôkre,SHOUT OUT,k a m j ɛ,1342
4418,Mẽbêngôkre,MOAN,k a m j ɛ r,957
4419,Apinayé,MOAN,k a m n ĵ ɛ,957
4420,Apinayé,MOAN,k a m n ĵ ɛ r,957
4421,Canela-Krahô,HURT,k a m c ɛ,765
4422,Canela-Krahô,MOAN,k a m c ɛ r,957
4423,Gavião-Pyhcopji,HURT,k a m c i,765
4424,Gavião-Pyhcopji,MOAN,k a m c i r,957
4425,Mẽbêngôkre,TICKLE,k u m j ɛ,1569
4426,Mẽbêngôkre,TICKLE,k u m j ɛ r,1569
4427,Canela-Krahô,TICKLE,k ũ m c ɛ,1569
4428,Canela-Krahô,TICKLE,k ũ m c ɛ r,1569
4429,Mẽbêngôkre,STAR,k a ɲ ɛ + t i + r ɛ,1453
4430,Apinayé,STAR,k a n ĵ ɛ,1453
4431,Kĩsêdjê,STAR,k a n t ɛ + c i,1453
4432,Tapayúna,STAR,k a n t ɛ + c i,1453
4433,Parkatêjê,MOON,k a c ɛ + r ɛ,963
4434,Canela-Krahô,MOON,k a c ɛ + r ɛ,963
4435,Canela-Krahô,STAR,k a c ɛ,1453
4436,Gavião-Pyhcopji,STAR,k a c iː + r ɛ,1453
4437,Gavião-Pyhcopji,STAR,k a c iː + t ɛ̤,1453
4438,Mẽbêngôkre,HOOK,k a ɲ ɛ,749
4439,Apinayé,HOOK,k a n ĵ ɛ,749
4440,Tapayúna,HOOK,k a n t ɛ,749
4441,Parkatêjê,HOOK,k a c ɛ,749
4442,Canela-Krahô,HOOK,k a c ɛ,749
4443,Mẽbêngôkre,HOLD,k a ɲ ɛ r,740
4444,Apinayé,HOLD,k a n ĵ ɛ r,740
4445,Parkatêjê,HOLD,k a c ɛ r,740
4446,Canela-Krahô,HOLD,k a c ɛ,740
4447,Mẽbêngôkre,BAT,ɲ ɛ p,131
4448,Apinayé,BAT,n ĵ ɛ p,131
4449,Kĩsêdjê,BAT,t ɛ p + c i,131
4450,Tapayúna,BAT,n t ɛ p,131
4451,Parkatêjê,BAT,c ɛ p + t i,131
4452,Canela-Krahô,BAT,c ɛ p + r ɛ,131
4453,Canela-Krahô,BAT,c ɛ p + t i,131
4454,Gavião-Pyhcopji,BAT,c i p + r ɛ,131
4455,Mẽbêngôkre,MOTHER,ɲ i r + w a,967
4456,Tapayúna,MOTHER,n t i + r ɛ,967
4457,Parkatêjê,MOTHER,c i,966
4458,Canela-Krahô,MOTHER,c i,966
4459,Gavião-Pyhcopji,MOTHER,c ɛ̤ː,966
4460,Mẽbêngôkre,PICK UP AND LIFT,j a ɲ ĩ,1119
4461,Mẽbêngôkre,PICK UP AND LIFT,j a ɲ ĩ ɲ,1119
4462,Apinayé,GRAB (MASS),j a n ĵ i,661
4463,Apinayé,PICK UP AND LIFT,j a n ĵ i r,1119
4464,Kĩsêdjê,RECEIVE,j a n t i,1209
4465,Kĩsêdjê,PICK UP AND LIFT,j a n t i r,1119
4466,Tapayúna,PICK UP AND LIFT,j a n t i,1119
4467,Tapayúna,PICK UP AND LIFT,j a n t i r,1119
4468,Canela-Krahô,PICK UP AND LIFT (LIQUID),j a c i r,1120
4469,Mẽbêngôkre,WIFE,ŋ + i ĵ i,1710
4470,Parkatêjê,WIFE,j i c i,1710
4471,Canela-Krahô,WIFE,j ĩ c i,1710
4472,Gavião-Pyhcopji,WIFE,j ɛ̤̃ː c ɛ̤ː,1710
4473,Mẽbêngôkre,STEM,ĵ a,1457
4474,Apinayé,PALM FIBER,c a,1067
4475,Canela-Krahô,STEM,c a,1457
4476,Parkatêjê,MANIOC,c aː,928
4477,Mẽbêngôkre,VINE,ĵ a,1646
4478,Canela-Krahô,VINE,c a,1646
4479,Mẽbêngôkre,STAND UP (SINGULAR),ĵ a,1447
4480,Mẽbêngôkre,STAND UP (SINGULAR),ĵ ã m,1447
4481,Apinayé,STAND UP (SINGULAR),c a,1447
4482,Apinayé,STAND UP (SINGULAR),c ɜ̃ m,1447
4483,Kĩsêdjê,STAND UP (SINGULAR),t a,1447
4484,Kĩsêdjê,STAND UP (SINGULAR),t ã m,1447
4485,Tapayúna,STAND UP (SINGULAR),t a,1447
4486,Tapayúna,STAND UP (SINGULAR),t ã w,1447
4487,Parkatêjê,STAND UP (SINGULAR),c a,1447
4488,Canela-Krahô,STAND UP (SINGULAR),c a,1447
4489,Canela-Krahô,STAND UP (SINGULAR),c ã m,1447
4490,Gavião-Pyhcopji,STAND UP (SINGULAR),c a,1447
4491,Gavião-Pyhcopji,STAND UP (SINGULAR),c ã m,1447
4492,Mẽbêngôkre,STAND UP (SOMETHING SINGULAR),ĵ a,1449
4493,Mẽbêngôkre,STAND UP (SOMETHING SINGULAR),ĵ a r,1449
4494,Apinayé,STAND UP (SOMETHING SINGULAR),c a,1449
4495,Apinayé,STAND UP (SOMETHING SINGULAR),c a r,1449
4496,Kĩsêdjê,STAND UP (SOMETHING SINGULAR),t a,1449
4497,Kĩsêdjê,STAND UP (SOMETHING SINGULAR),t a j,1449
4498,Parkatêjê,STAND UP (SOMETHING SINGULAR),c a,1449
4499,Parkatêjê,STAND UP (SOMETHING SINGULAR),c a r,1449
4500,Canela-Krahô,STAND UP (SOMETHING SINGULAR),c a,1449
4501,Canela-Krahô,STAND UP (SOMETHING SINGULAR),c ã m,1449
4502,Gavião-Pyhcopji,STAND UP (SOMETHING SINGULAR),c ã m,1449
4503,Mẽbêngôkre,NOSE,ɲ i j a + k r ɛ,1031
4504,Apinayé,CONGESTED NOSE,ɲ i j a + k r ɛ + t ɜ̂ c,347
4505,Kĩsêdjê,NOSE,ɲ j a + kʰ r ɛ,1031
4506,Tapayúna,NOSE,ɲ ĩ j a + kʰ r ɛ,1031
4507,Canela-Krahô,NOSE,j ĩ j a + kʰ r ɛ,1031
4508,Gavião-Pyhcopji,NOSE,j ɛ̤̃ j a + kʰ r ɛː,1031
4509,Mẽbêngôkre,LIP,j a + k ɜ,871
4510,Parkatêjê,LIP,j a + k ɜ,871
4511,Canela-Krahô,LIP,j a ʔ + k ɜ,871
4512,Gavião-Pyhcopji,LIP,j a ʔ + k ɜ,871
4513,Mẽbêngôkre,CHEEK,j a + i,290
4514,Kĩsêdjê,CHEEK,j a j + s,290
4515,Parkatêjê,JAW,j a + h i,805
4516,Canela-Krahô,JAW,j a + h i,805
4517,Gavião-Pyhcopji,JAW,j a r + h ɛ,805
4518,Mẽbêngôkre,CONTAINER,ĵ ɜ,348
4519,Apinayé,CONTAINER,c ɜ,348
4520,Kĩsêdjê,CONTAINER,t ɜ,348
4521,Tapayúna,CONTAINER,t ɜ,348
4522,Parkatêjê,CONTAINER,c ɜ,348
4523,Canela-Krahô,CONTAINER,c ɜ,348
4524,Gavião-Pyhcopji,CONTAINER,c ɜ,348
4525,Mẽbêngôkre,NAME OF PLACE,ĵ ɜ,1000
4526,Apinayé,NAME OF PLACE,c ɜ,1000
4527,Kĩsêdjê,NAME OF PLACE,t ɜ,1000
4528,Tapayúna,NAME OF PLACE,t ɜ,1000
4529,Parkatêjê,NAME OF PLACE,c ɜ,1000
4530,Canela-Krahô,NAME OF PLACE,c ɜ,1000
4531,Gavião-Pyhcopji,NAME OF PLACE,c ɜ,1000
4532,Mẽbêngôkre,PAIN,ĵ ɜ,1062
4533,Apinayé,PAIN,c ɜ,1062
4534,Kĩsêdjê,PAIN,t ɜ,1062
4535,Tapayúna,PAIN,t ɜ,1062
4536,Parkatêjê,PAIN,c ɜ,1062
4537,Canela-Krahô,PAIN,c ɜ,1062
4538,Gavião-Pyhcopji,PAIN,c ɜ,1062
4539,Mẽbêngôkre,URINE,ĵ ɜ,1637
4540,Apinayé,URINE,c ɜ,1637
4541,Parkatêjê,URINE,c ɜ,1637
4542,Canela-Krahô,URINE,j ɜ + c ɜ,1638
4543,Gavião-Pyhcopji,URINE,c ɜː,1637
4544,Mẽbêngôkre,BLADDER,ĵ ɜ,191
4545,Apinayé,BLADDER,c ɜ,191
4546,Parkatêjê,BLADDER,c ɜ,191
4547,Canela-Krahô,BLADDER,j ɜ + c ɜ,193
4548,Gavião-Pyhcopji,BLADDER,c ɜː,191
4549,Mẽbêngôkre,INSERT (SINGULAR),ĵ ɜ,789
4550,Mẽbêngôkre,INSERT (SINGULAR),ĵ ɜ r,789
4551,Apinayé,INSERT (SINGULAR),c ɜ,789
4552,Apinayé,INSERT (SINGULAR),c ɜ r,789
4553,Kĩsêdjê,INSERT (SINGULAR),t ɜ,789
4554,Kĩsêdjê,INSERT (SINGULAR),t ɜ r,789
4555,Tapayúna,INSERT (SINGULAR),t ɜ,789
4556,Parkatêjê,INSERT (SINGULAR),c ɜ,789
4557,Parkatêjê,INSERT (SINGULAR),c ɜ r,789
4558,Canela-Krahô,INSERT (SINGULAR),c ɜ,789
4559,Canela-Krahô,INSERT (SINGULAR),c ɜ r,789
4560,Gavião-Pyhcopji,INSERT (SINGULAR),c ɜ,789
4561,Gavião-Pyhcopji,INSERT (SINGULAR),c ɜ r,789
4562,Mẽbêngôkre,ENTER (SINGULAR),w + a ĵ ɜ,512
4563,Mẽbêngôkre,ENTER (SINGULAR),ĵ ɜ r,512
4564,Apinayé,ENTER (SINGULAR),a c ɜ,512
4565,Apinayé,ENTER (SINGULAR),c ɜ r,512
4566,Kĩsêdjê,ENTER (SINGULAR),a t ɜ,512
4567,Kĩsêdjê,ENTER (SINGULAR),t ɜ r,512
4568,Tapayúna,ENTER (SINGULAR),a t ɜ,512
4569,Tapayúna,ENTER (SINGULAR),t ɜ r,512
4570,Parkatêjê,ENTER (SINGULAR),c ɜ,512
4571,Parkatêjê,ENTER (SINGULAR),c ɜ r,512
4572,Canela-Krahô,ENTER (SINGULAR),a c ɜ,512
4573,Canela-Krahô,ENTER (SINGULAR),c ɜ r,512
4574,Gavião-Pyhcopji,ENTER (SINGULAR),aː c ɜ,512
4575,Gavião-Pyhcopji,ENTER (SINGULAR),c ɜ r,512
4576,Mẽbêngôkre,INSERT,j a ĵ ɜ,786
4577,Mẽbêngôkre,INSERT,j a ĵ ɜ r,786
4578,Apinayé,INSERT,j a c ɜ,786
4579,Apinayé,INSERT,j a c ɜ r,786
4580,Kĩsêdjê,INSERT,j a t ɜ,786
4581,Kĩsêdjê,INSERT,j a t ɜ r,786
4582,Parkatêjê,GET WATER,j a c ɜ,635
4583,Parkatêjê,INSERT,j a c ɜ r,786
4584,Canela-Krahô,INSERT,j a c ɜ,786
4585,Canela-Krahô,INSERT,j a c ɜ r,786
4586,Gavião-Pyhcopji,INSERT,j a c ɜ,786
4587,Gavião-Pyhcopji,INSERT,j a c ɜ r,786
4588,Mẽbêngôkre,WEAR,j a ĵ ɜ,1683
4589,Mẽbêngôkre,WEAR,j a ĵ ɜ r,1683
4590,Apinayé,WEAR,j a c ɜ,1683
4591,Apinayé,WEAR,j a c ɜ r,1683
4592,Kĩsêdjê,WEAR,j a t ɜ,1683
4593,Kĩsêdjê,WEAR,j a t ɜ r,1683
4594,Parkatêjê,WEAR,j a c ɜ r,1683
4595,Canela-Krahô,WEAR,j a c ɜ,1683
4596,Canela-Krahô,WEAR,j a c ɜ r,1683
4597,Gavião-Pyhcopji,WEAR,j a c ɜ,1683
4598,Gavião-Pyhcopji,WEAR,j a c ɜ r,1683
4599,Mẽbêngôkre,RED DEER,a ĵ ɜ + t i,1216
4600,Apinayé,RED DEER,a c ɜ ʔ + t i,1216
4601,Gavião-Pyhcopji,RED DEER,aː c ɜ + r ɛ,1216
4602,Gavião-Pyhcopji,RED DEER,aː c ɜ + ʔ t ɛ̤,1216
4603,Mẽbêngôkre,COTTON,k a ĵ ɜ t,357
4604,Apinayé,COTTON,k a c ɜ t,357
4605,Kĩsêdjê,COTTON,k a t ɜ t,357
4606,Tapayúna,COTTON,k a t ɜ t,357
4607,Parkatêjê,COTTON,k a c ɜ t,357
4608,Canela-Krahô,COTTON,k a c ɜ t,357
4609,Gavião-Pyhcopji,COTTON,k a c ɜ t,357
4610,Mẽbêngôkre,SWEET,ĵ ɜ ɲ,1501
4611,Apinayé,SWEET,c ɜ ɲ,1501
4612,Kĩsêdjê,SWEET,t ɜ n,1501
4613,Parkatêjê,SWEET,c ɜ n,1501
4614,Canela-Krahô,SWEET,c ɛ n,1501
4615,Gavião-Pyhcopji,SWEET,c ɛ n,1501
4616,Mẽbêngôkre,YUMMY,ĵ ɜ ɲ,1747
4617,Apinayé,YUMMY,c ɜ ɲ,1747
4618,Kĩsêdjê,YUMMY,t ɜ n,1747
4619,Parkatêjê,YUMMY,c ɜ n,1747
4620,Canela-Krahô,YUMMY,c ɛ n,1747
4621,Gavião-Pyhcopji,YUMMY,c ɛ n,1747
4622,Mẽbêngôkre,BITTER,ĵ ɜ̂,184
4623,Apinayé,BITTER,c ɜ̂,184
4624,Tapayúna,ANOINT,t ɜ̂,53
4625,Parkatêjê,BITTER,c ɜ̂,184
4626,Canela-Krahô,BITTER,c ɜ̂,184
4627,Gavião-Pyhcopji,BITTER,c ɨ,184
4628,Mẽbêngôkre,CAATINGA,k u ĵ ɜ̂,254
4629,Apinayé,CAATINGA,k u c ɜ̂,254
4630,Kĩsêdjê,CAATINGA,k u t ɜ̂,254
4631,Tapayúna,CAATINGA,k u t ɜ̂,254
4632,Parkatêjê,CAATINGA,k u c ɜ̂,254
4633,Canela-Krahô,CAATINGA,k u c ɜ̂,254
4634,Gavião-Pyhcopji,LIQUOR,k uː c ɨ,880
4635,Gavião-Pyhcopji,LIQUOR,k ɔ̤ː c ɨ,880
4636,Mẽbêngôkre,MOVE AROUND,ĵ ɨ,983
4637,Apinayé,MOVE AROUND,c ɨ,983
4638,Kĩsêdjê,MOVE OUT,t ɨ,985
4639,Parkatêjê,MOVE AROUND,c ɨ,983
4640,Gavião-Pyhcopji,MOVE AROUND,c ɜ̤,983
4641,Mẽbêngôkre,DEER,ŋ j ã ĵ ɨ,419
4642,Mẽbêngôkre,DEER,ɲ ã ĵ ɨ,419
4643,Apinayé,DEER,ɲ ĩ a c ɨ,419
4644,Kĩsêdjê,DEER,ɲ ĩ ɲ ã t ɨ,419
4645,Tapayúna,DEER,ɲ ĩ ɲ ɜ̃ t ɨ,419
4646,Tapayúna,DEER,ɲ ĩ a t ɨ,419
4647,Parkatêjê,DEER,j a c ɨ,419
4648,Canela-Krahô,DEER,h ĩ j a c ɨ,419
4649,Canela-Krahô,DEER,ŋ ĩ j a c ɨ,419
4650,Canela-Krahô,DEER,j ã c ɨ,419
4651,Gavião-Pyhcopji,DEER,h ɛ̤̃ː j ãː c ɜ,419
4652,Gavião-Pyhcopji,DEER,j ãː c ɜ̤,419
4653,Mẽbêngôkre,BROKEN,ĵ u ĵ ɨ,228
4654,Apinayé,BROKEN,c u c ɨ,228
4655,Parkatêjê,BROKEN,j õ c ɨ,228
4656,Canela-Krahô,BROKEN,j ũ c ɨ,228
4657,Gavião-Pyhcopji,BROKEN,j õː c ɜ̤,228
4658,Mẽbêngôkre,SPELL,ĵ u ĵ ɨ,1425
4659,Apinayé,SPELL,c u c ɨ,1425
4660,Parkatêjê,SPELL,j õ c ɨ,1425
4661,Canela-Krahô,SPELL,j ũ c ɨ,1425
4662,Gavião-Pyhcopji,SPELL,j õː c ɜ̤,1425
4663,Parkatêjê,LOCUST,c ɨ c ɨ k,898
4664,Canela-Krahô,LOCUST,c ɨ c ɨ k + r ɛ,898
4665,Gavião-Pyhcopji,LOCUST,c ɜ̤ c ɜ̤ k,898
4666,Mẽbêngôkre,PAW,ɲ ỹ,1088
4667,Apinayé,PAW,ɲ ỹ,1088
4668,Mẽbêngôkre,HULL,ɲ ỹ,758
4669,Mẽbêngôkre,BE SEATED (SINGULAR),ɲ ỹ,141
4670,Mẽbêngôkre,BE SEATED (SINGULAR),ɲ ỹ r,141
4671,Apinayé,BE SEATED (SINGULAR),ɲ ỹ,141
4672,Apinayé,BE SEATED (SINGULAR),ɲ ỹ r,141
4673,Kĩsêdjê,BE SEATED (SINGULAR),ɲ ỹ,141
4674,Kĩsêdjê,BE SEATED (SINGULAR),ɲ ỹ r,141
4675,Tapayúna,BE SEATED (SINGULAR),ɲ ỹ,141
4676,Tapayúna,BE SEATED (SINGULAR),ɲ ỹ r,141
4677,Parkatêjê,BE SEATED (SINGULAR),j ỹ,141
4678,Parkatêjê,BE SEATED (SINGULAR),j ỹ r,141
4679,Canela-Krahô,BE SEATED (SINGULAR),j ỹ,141
4680,Canela-Krahô,BE SEATED (SINGULAR),j ỹ r,141
4681,Gavião-Pyhcopji,BE SEATED (SINGULAR),j ɜ̃,141
4682,Gavião-Pyhcopji,BE SEATED (SINGULAR),j ɜ̃ ̤r,141
4683,Mẽbêngôkre,FOX,ĵ ɔ + t i,610
4684,Apinayé,FOX,c ɔ,610
4685,Kĩsêdjê,FOX,r ɔ p + t ɔ + c i,611
4686,Canela-Krahô,FOX,c ɔ,610
4687,Gavião-Pyhcopji,PUPPY,c ɔː,1183
4688,Gavião-Pyhcopji,FOX,c ɔː + r ɛ,610
4689,Mẽbêngôkre,FOOD,ɲ õ + k w ɜ̂ + k r ẽ n,602
4690,Apinayé,FOOD,ɲ õ,601
4691,Kĩsêdjê,FOOD,ɲ õ,601
4692,Parkatêjê,FOOD,j õ,601
4693,Canela-Krahô,FOOD,j õ,601
4694,Gavião-Pyhcopji,FOOD,j õ,601
4695,Gavião-Pyhcopji,FOOD,j õː,601
4696,Mẽbêngôkre,PALM HEART,ɲ õ,1069
4697,Parkatêjê,PALM HEART,r õ + j õ,1070
4698,Mẽbêngôkre,INGA (GENUS),k ɔ g ɲ õ + k ɔ,783
4699,Apinayé,INGA (GENUS),k õ ɲ õ + k ɔ,783
4700,Apinayé,INGA (GENUS),k õ ɲ ɲ õ + k ɔ,783
4701,Kĩsêdjê,INGA (GENUS),k õ ŋ ɲ õ + t ɔ + c i,783
4702,Parkatêjê,INGA (GENUS),k u k j ɜ̃ j + r ɛ,784
4703,Canela-Krahô,INGA (GENUS),kʰ ɔ k j õ j,783
4704,Gavião-Pyhcopji,INGA (GENUS),kʰ õ k j õː + c uː + p ɜ r,783
4705,Mẽbêngôkre,STRING,ɲ õ r,1481
4706,Apinayé,STRING,ɲ õ r,1481
4707,Apinayé,STRING,p ɜ r + ɲ õ r,1481
4708,Kĩsêdjê,STRING,w ɜ + ɲ õ r,1481
4709,Parkatêjê,STRING,j õ r,1481
4710,Canela-Krahô,STRING,j õ r,1481
4711,Gavião-Pyhcopji,STRING,h + õ r + t ɛ,1482
4712,Mẽbêngôkre,DAPHNOPSIS (GENUS),ɲ õ r,406
4713,Apinayé,DAPHNOPSIS (GENUS),ɲ õ r,406
4714,Apinayé,DAPHNOPSIS (GENUS),p ɜ r + ɲ õ r,406
4715,Kĩsêdjê,DAPHNOPSIS (GENUS),w ɜ + ɲ õ r,406
4716,Parkatêjê,DAPHNOPSIS (GENUS),j õ r,406
4717,Canela-Krahô,DAPHNOPSIS (GENUS),j õ r,406
4718,Gavião-Pyhcopji,DAPHNOPSIS (GENUS),h + õ r + t ɛ,407
4719,Mẽbêngôkre,ACUTE ANGLE,k a ɲ õ k,28
4720,Parkatêjê,ACUTE ANGLE,k a j õ k,28
4721,Canela-Krahô,ACUTE ANGLE,k a j õ k,28
4722,Gavião-Pyhcopji,ACUTE ANGLE,k a j õ k,28
