id,doculect,concept,forms,lexstatid
547,Xavánte,PITCH.SG,m ẽ j,1131
548,Xavánte,PITCH.SG,m ẽ,1131
549,Xerénte,PITCH.SG,m ẽ,1131
550,Panará,HONEY,n ɜ̃ m p ẽ ŋ,747
551,Xavánte,MEL,p ĩ n ĩ,944
552,Xavánte,MEL,nan,945
553,Xavánte,LIQUID,ʔ u j p ĩ n ĩ,877
554,Xavánte,LIQUID,nan,878
555,Xerénte,RHEUM,t o p i,1230
556,Xerénte,PURE HONEY,k ê p i,1184
557,Xerénte,LIQUID,k u j p i,877
558,Panará,HUSBAND,ĩ m p ĩ m p j ɜ,769
559,Xavánte,WALK.SG,p r a b a,1660
560,Xavánte,WALK.SG,ʔ m ɜ̃ p r a,1660
561,Xavánte,WALK.SG,ʔ m ɜ̃ p r a b a,1660
562,Xerénte,DANCE,p r b a,403
563,Xerénte,DANCE,p r a b,404
564,Xerénte,WALK.SG,k m ɜ̃ p r a,1660
565,Xerénte,WALK.SG,k m ɜ̃ p r b a,1660
566,Xerénte,WALK.SG,k m ɜ̃ p r a b,1660
567,Panará,SALT,ĩ m p j o,1281
568,Xavánte,DUST,ĵ a p r u,477
569,Panará,BLOOD,n ɜ̃ m p j u,195
570,Xavánte,BLOOD,w aː p r u j,195
571,Xavánte,BLOOD,w aː p r u,195
572,Xerénte,BLOOD,w a p r u,195
573,Xerénte,BUMBLEBEE,s i p r i,236
574,Panará,CARRY IN BASKET.SG,t u r ĭ,271
575,Panará,TALK,p ẽ j,1517
576,Panará,FLY,t oː,593
577,Panará,PRIV,r õ,1170
578,Panará,BURST,a t õ,243
579,Panará,CAPYBARA,ĩ n t ỹ ŋ,264
580,Panará,PEOPLE,i p p ẽ,1108
581,Panará,BLACK,k ɜ t ɨː,187
582,Panará,ABL,p êː,21
583,Panará,MUTUCA,p uː s u,993
584,Panará,TONGUE,s õ t o,1583
